Page,Code,Severity,Message,BBox
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ใช้ตอกหรือเชือกกล้วยมัดใบตองที่ห่อข้าวต้มมัด'),"[152.32, 336.24, 298.27, 349.46]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ส่งไปยังจุดจัดเก็บ'),"[152.32, 348.33, 207.67, 361.55]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'ท าการจัดเก็บข้าวต้มมัดไส้กล้วย'),"[152.32, 360.41, 251.89, 373.63]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ '5 5 0 2 1'),"[418.57, 372.51, 467.36, 385.73]"
81,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'รวม'),"[233.34, 372.51, 245.91, 385.73]"
81,FONT_SIZE,error,ขนาดผิด: 13.9pt (เจอ 'จุดรีดข้าว'),"[253.75, 483.37, 291.78, 498.52]"
81,FONT_SIZE,error,ขนาดผิด: 13.9pt (เจอ 'จุดเตรียมข้าว'),"[140.59, 485.23, 192.82, 500.39]"
81,FONT_SIZE,error,ขนาดผิด: 13.9pt (เจอ 'จุดจัดเก็บ'),"[438.06, 559.52, 475.17, 574.66]"
81,FONT_SIZE,error,ขนาดผิด: 13.9pt (เจอ 'จุดห่อใบตอง'),"[227.16, 562.66, 276.08, 577.81]"
81,FONT_SIZE,error,ขนาดผิด: 13.9pt (เจอ 'จุดมัดข้าวต้มมัด'),"[318.05, 562.92, 380.18, 578.09]"
81,FONT_SIZE,error,ขนาดผิด: 13.9pt (เจอ 'จุดวางกล้วย'),"[138.11, 562.96, 185.79, 578.13]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'กนะบวนการไหลของข้าวต้มมัดไส้กล้วยแบบใช้เครื่องทั้งไลน์ผลิต'),"[215.7, 109.22, 415.94, 122.45]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'เครื่องจักร (Machine type)'),"[330.37, 123.6, 427.09, 136.82]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'วัสดุ (Material type)'),"[223.55, 123.6, 299.67, 136.82]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'คน (Man type)'),"[142.53, 123.6, 194.16, 136.82]"
83,FONT_SIZE,error,ขนาดผิด: 12.1pt (เจอ 'อื่นๆ (Other)'),"[458.76, 123.6, 506.48, 136.82]"
